,date,SPX
2863,1981-07-24,128.4600067138672
2864,1981-07-27,129.89999389648438
2865,1981-07-28,129.13999938964844
2866,1981-07-29,129.16000366210938
2867,1981-07-30,130.00999450683594
2868,1981-07-31,130.9199981689453
2869,1981-08-03,130.47999572753906
2870,1981-08-04,131.17999267578125
2871,1981-08-05,132.6699981689453
2872,1981-08-06,132.63999938964844
2873,1981-08-07,131.75
2874,1981-08-10,132.5399932861328
2875,1981-08-11,133.85000610351562
2876,1981-08-12,133.39999389648438
2877,1981-08-13,133.50999450683594
2878,1981-08-14,132.49000549316406
2879,1981-08-17,131.22000122070312
2880,1981-08-18,130.11000061035156
2881,1981-08-19,130.49000549316406
2882,1981-08-20,130.69000244140625
2883,1981-08-21,129.22999572753906
2884,1981-08-24,125.5
2885,1981-08-25,125.12999725341797
2886,1981-08-26,124.95999908447266
2887,1981-08-27,123.51000213623047
2888,1981-08-28,124.08000183105469
2889,1981-08-31,122.79000091552734
2890,1981-09-01,123.0199966430664
2891,1981-09-02,123.48999786376953
2892,1981-09-03,121.23999786376953
2893,1981-09-04,120.06999969482422
2894,1981-09-08,117.9800033569336
2895,1981-09-09,118.4000015258789
2896,1981-09-10,120.13999938964844
2897,1981-09-11,121.61000061035156
2898,1981-09-14,120.66000366210938
2899,1981-09-15,119.7699966430664
2900,1981-09-16,118.87000274658203
2901,1981-09-17,117.1500015258789
2902,1981-09-18,116.26000213623047
2903,1981-09-21,117.23999786376953
2904,1981-09-22,116.68000030517578
2905,1981-09-23,115.6500015258789
2906,1981-09-24,115.01000213623047
2907,1981-09-25,112.7699966430664
2908,1981-09-28,115.52999877929688
2909,1981-09-29,115.94000244140625
2910,1981-09-30,116.18000030517578
2911,1981-10-01,117.08000183105469
2912,1981-10-02,119.36000061035156
2913,1981-10-05,119.51000213623047
2914,1981-10-06,119.38999938964844
2915,1981-10-07,121.30999755859375
2916,1981-10-08,122.30999755859375
2917,1981-10-09,121.44999694824219
2918,1981-10-12,121.20999908447266
2919,1981-10-13,120.77999877929688
2920,1981-10-14,118.80000305175781
2921,1981-10-15,119.70999908447266
2922,1981-10-16,119.19000244140625
2923,1981-10-19,118.9800033569336
2924,1981-10-20,120.27999877929688
2925,1981-10-21,120.0999984741211
2926,1981-10-22,119.63999938964844
2927,1981-10-23,118.5999984741211
2928,1981-10-26,118.16000366210938
2929,1981-10-27,119.29000091552734
2930,1981-10-28,119.44999694824219
2931,1981-10-29,119.05999755859375
2932,1981-10-30,121.88999938964844
2933,1981-11-02,124.19999694824219
2934,1981-11-03,124.80000305175781
2935,1981-11-04,124.73999786376953
2936,1981-11-05,123.54000091552734
2937,1981-11-06,122.66999816894531
2938,1981-11-09,123.29000091552734
2939,1981-11-10,122.69999694824219
2940,1981-11-11,122.91999816894531
2941,1981-11-12,123.19000244140625
2942,1981-11-13,121.66999816894531
2943,1981-11-16,120.23999786376953
2944,1981-11-17,121.1500015258789
2945,1981-11-18,120.26000213623047
2946,1981-11-19,120.70999908447266
2947,1981-11-20,121.70999908447266
2948,1981-11-23,121.5999984741211
2949,1981-11-24,123.51000213623047
2950,1981-11-25,124.05000305175781
2951,1981-11-27,125.08999633789062
2952,1981-11-30,126.3499984741211
2953,1981-12-01,126.0999984741211
2954,1981-12-02,124.69000244140625
2955,1981-12-03,125.12000274658203
2956,1981-12-04,126.26000213623047
2957,1981-12-07,125.19000244140625
2958,1981-12-08,124.81999969482422
2959,1981-12-09,125.4800033569336
2960,1981-12-10,125.70999908447266
2961,1981-12-11,124.93000030517578
2962,1981-12-14,122.77999877929688
2963,1981-12-15,122.98999786376953
2964,1981-12-16,122.41999816894531
2965,1981-12-17,123.12000274658203
2966,1981-12-18,124.0
2967,1981-12-21,123.33999633789062
2968,1981-12-22,122.87999725341797
2969,1981-12-23,122.30999755859375
2970,1981-12-24,122.54000091552734
2971,1981-12-28,122.2699966430664
2972,1981-12-29,121.66999816894531
2973,1981-12-30,122.30000305175781
2974,1981-12-31,122.55000305175781
2975,1982-01-04,122.73999786376953
2976,1982-01-05,120.05000305175781
2977,1982-01-06,119.18000030517578
2978,1982-01-07,118.93000030517578
2979,1982-01-08,119.55000305175781
2980,1982-01-11,116.77999877929688
2981,1982-01-12,116.30000305175781
2982,1982-01-13,114.87999725341797
2983,1982-01-14,115.54000091552734
2984,1982-01-15,116.33000183105469
2985,1982-01-18,117.22000122070312
2986,1982-01-19,115.97000122070312
2987,1982-01-20,115.2699966430664
2988,1982-01-21,115.75
2989,1982-01-22,115.37999725341797
2990,1982-01-25,115.41000366210938
2991,1982-01-26,115.19000244140625
2992,1982-01-27,115.73999786376953
2993,1982-01-28,118.91999816894531
2994,1982-01-29,120.4000015258789
2995,1982-02-01,117.77999877929688
2996,1982-02-02,118.01000213623047
2997,1982-02-03,116.4800033569336
2998,1982-02-04,116.41999816894531
2999,1982-02-05,117.26000213623047
3000,1982-02-08,114.62999725341797
3001,1982-02-09,113.68000030517578
